Onset,Offset,Duration,Number of Faces,Gender,Age,Visual-Positive,Visual-Negative,Visual-Beauty
34.30,34.40,0.10,1,Male,31,0.00,0.00,0.40
34.40,34.50,0.10,1,Male,29,0.00,0.56,0.44
34.50,34.60,0.10,1,Male,32,0.00,0.99,0.49
34.60,34.70,0.10,1,Male,35,0.00,0.13,0.44
34.70,34.80,0.10,1,Male,39,0.00,0.96,0.47
34.80,34.90,0.10,1,Male,33,0.00,0.96,0.49
34.90,35.00,0.10,1,Male,33,0.00,0.96,0.49
35.00,35.10,0.10,1,Male,37,0.00,0.99,0.50
35.10,35.20,0.10,1,Male,32,0.00,1.00,0.48
35.20,35.30,0.10,1,Male,31,0.00,1.00,0.47
35.30,35.40,0.10,1,Male,29,0.00,0.67,0.48
35.40,35.50,0.10,1,Male,32,0.00,0.44,0.48
35.50,35.60,0.10,1,Male,28,0.00,0.04,0.45
35.60,35.70,0.10,1,Male,33,0.00,0.61,0.49
35.70,35.80,0.10,1,Male,31,0.00,0.14,0.49
35.80,35.90,0.10,1,Male,31,0.00,0.72,0.50
35.90,36.00,0.10,1,Male,26,0.00,0.35,0.53
36.00,36.10,0.10,1,Male,30,0.00,0.02,0.47
36.10,36.20,0.10,1,Male,30,0.00,0.00,0.50
36.20,36.30,0.10,1,Male,28,0.00,0.01,0.50
36.30,36.40,0.10,1,Male,27,0.00,0.00,0.52
36.40,36.50,0.10,1,Male,31,0.00,0.00,0.47
36.50,36.60,0.10,1,Male,33,0.00,0.15,0.47
36.60,36.70,0.10,1,Male,32,0.00,0.03,0.44
36.70,36.80,0.10,1,Male,29,0.00,0.08,0.48
36.80,36.90,0.10,1,Male,34,0.00,0.01,0.48
36.90,37.00,0.10,1,Male,29,0.00,0.11,0.49
37.00,37.10,0.10,1,Male,32,0.00,0.87,0.51
37.10,37.20,0.10,1,Male,36,0.00,0.03,0.44
37.20,37.30,0.10,1,Male,35,0.00,0.07,0.48
37.30,37.40,0.10,1,Male,33,0.00,0.52,0.50
37.40,37.50,0.10,1,Male,32,0.00,0.55,0.50
37.50,37.60,0.10,1,Male,33,0.00,0.20,0.51
37.60,37.70,0.10,1,Male,33,0.00,0.06,0.45
37.70,37.80,0.10,1,Male,30,0.00,0.03,0.49
37.80,37.90,0.10,1,Male,22,0.00,0.00,0.55
37.90,38.00,0.10,1,Male,17,0.00,0.00,0.55
38.00,38.10,0.10,1,Male,26,0.00,0.00,0.56
38.10,38.20,0.10,1,Male,30,0.00,0.00,0.51
38.20,38.30,0.10,1,Male,37,0.00,0.21,0.44
38.30,38.40,0.10,1,Male,36,0.00,0.99,0.48
38.40,38.50,0.10,1,Male,35,0.00,0.84,0.50
38.50,38.60,0.10,1,Male,34,0.00,0.00,0.48
